company_id,company_name,node_index,label,train_mask,val_mask,test_mask
914403000939188802,深圳恒泽荣耀低空经济有限公司,25,0,0,1,0
91440101MA9UM2J74X,广东正好低空经济产业发展有限公司,26,0,1,0,0
91440300MA5FP0HB4H,深圳民益低空经济发展有限公司,27,0,1,0,0
91440101MA5D3K068M,城际低空经济产业发展（广州）有限公司,28,0,1,0,0
91440300MA5HNMFG3D,广东省飞的低空经济产业有限公司,29,0,0,0,1
91440111MADXNM8K0K,华南低空经济开发（广东）有限公司,30,0,1,0,0
91440605MAE15LPX70,佛山君航低空经济技术发展有限公司,31,0,1,0,0
91440300MAE5PJ9H11,深圳智翔低空经济发展有限公司,32,0,1,0,0
91440300MAEAYHA58U,广东通翔低空经济发展有限公司,33,0,0,1,0
91441502MAE9WFPB5M,中飞低空经济发展（汕尾）有限公司,34,0,0,1,0
91442000MAEDFKRK6L,深信低空经济发展（广东）有限公司,35,0,1,0,0
91440300MAED1Y1C72,华粤低空经济（深圳）有限公司,36,0,0,0,1
91440300MAEDGFPM1D,深圳飞飞低空经济科技有限公司,37,0,0,0,1
91440812MAEEEBBE6X,广东光擎智联低空经济发展有限公司,38,0,1,0,0
91440812MAEG4BPF08,广东万维航科低空经济发展有限公司,39,0,1,0,0
91441900MAEKCE83X1,中和科苑低空经济发展（东莞）有限公司,40,0,1,0,0
91440300MADURURC7C,中粤航低空经济（深圳）有限公司,41,0,0,0,1
91440300MAE03GA817,城市快线（深圳）低空经济发展有限公司,42,0,1,0,0
91440300MAE447RK2U,马上起飞（深圳）低空经济有限公司,43,0,1,0,0
91441900MAE6569F1T,广东省彩航低空经济发展有限公司,44,0,1,0,0
91440300MAE77J4R5J,跨界低空经济发展（深圳）有限公司,45,0,1,0,0
91440300MAE8A56P08,深圳市建效合得低空经济有限公司,46,0,1,0,0
91440604MAE94ATM4M,中科低空经济（广东）有限公司,47,0,0,1,0
91442000MAE9N3HC0M,时空鹰（中山）低空经济有限公司,48,0,1,0,0
91440300MAE8YP5D18,领路者（深圳）低空经济投资有限公司,49,0,1,0,0
91440604MAE95LGY59,粤东低空经济（广东）有限公司,50,0,1,0,0
91440802MAEA7DU65U,广东再来低空经济发展有限公司,51,0,1,0,0
91440604MAE9RW1G21,港澳大湾低空经济（广东）有限公司,52,0,0,0,1
91440606MAEA6A1J3G,新航道（佛山）低空经济发展有限公司,53,0,1,0,0
91440604MAE9FGW34Y,中交低空经济（广东）有限公司,54,0,1,0,0
91440300MAE8RMLR1L,中深低空经济（深圳）有限公司,55,0,0,1,0
91440606MAEAP3BC47,顺天明德（广东）低空经济发展有限公司,56,0,1,0,0
91442000MAE96K3M7W,明途领航（中山）低空经济发展有限公司,57,0,0,1,0
91440608MAEBAX6PXA,涡小流低空经济发展（佛山）有限公司,58,0,0,1,0
91440883MAEAREF880,南方低空经济（广东）有限公司,59,0,0,1,0
91440300MAEB68JR9Q,阖众低空经济发展（广东）有限公司,60,0,1,0,0
91440300MAEBLKEN9T,中能低空经济（深圳）有限公司,61,0,1,0,0
91440300MAEBB8BC2L,航旅低空经济（深圳）有限公司,62,0,1,0,0
91440300MAEC599L43,创华低空经济（深圳）有限公司,63,0,1,0,0
91440300MAEBJ8Q38X,航宇低空经济（深圳）有限公司,64,0,0,0,1
91440300MAEC0KLW38,云界（深圳）低空经济发展有限公司,65,0,1,0,0
91441900MAECNX877Q,中安低空经济（广东）有限公司,66,0,1,0,0
91440300MAECP38D59,中粤低空经济（深圳）有限公司,67,0,1,0,0
91440300MAECCUFD20,华中（深圳）低空经济发展有限公司,68,0,1,0,0
91440604MAECTQH435,中资低空经济（广东）有限公司,69,0,1,0,0
91440300MAECTUBB3N,深圳亿航低空经济咨询有限公司,70,0,1,0,0
91440300MAEC439U6D,中天低空经济（深圳）有限公司,71,0,0,1,0
91440300MAEC94LY5R,深圳艾翔低空经济科技有限公司,72,0,0,1,0
91440300MAED5W666M,蓝锐华疆（深圳）低空经济产业有限公司,73,0,1,0,0
91440300MAEDFCPP25,深圳新空时代低空经济有限公司,74,0,0,1,0
91440300MAEBRH9P8L,中产低空经济（深圳）有限公司,75,0,1,0,0
91440106MAEC4TAJ33,广东印太低空经济有限公司,76,0,1,0,0
91441502MAECE0NR7K,汕尾市联智低空经济有限公司,77,0,1,0,0
91440300MAEDMNQR3N,广飞低空经济（深圳）有限公司,78,0,1,0,0
91440300MAEDCJ394F,飞悦低空经济（深圳）有限公司,79,0,0,1,0
91441900MAEDDBG582,领航低空经济（广东）有限公司,80,0,1,0,0
91440300MAEEP4CY74,万域（深圳）低空经济投资有限公司,81,0,0,1,0
91440802MAEEGWYJ19,湛江金湛云低空经济发展有限公司,82,0,0,1,0
91441381MAEDU3DX9T,惠州市蜻蜓低空经济发展有限公司,83,0,1,0,0
91441900MAEEN8JG4Y,灵鸢低空经济（广东）有限公司,84,0,0,0,1
91441900MAEDDWYF11,广东全域低空经济有限公司,85,0,1,0,0
91440500MAEFAY863C,金航通（汕头）低空经济有限公司,86,0,1,0,0
91440300MAEERM678P,深圳擎空低空经济有限公司,87,1,0,0,1
91440113MAEGPGXA9J,嘉馨（广州）低空经济产业发展有限公司,88,0,1,0,0
91440105MAEF38Q26T,广东粤粮低空经济产业发展有限公司,89,0,0,0,1
91440300MAEF6G4246,中天（深圳）低空经济产业投资有限公司,90,0,1,0,0
91440204MAEGNB862R,韶关航宇低空经济发展有限公司,91,0,1,0,0
91440300MAEGQQAG4E,华鹰低空经济开发（深圳）有限公司,92,0,1,0,0
91440300MAEGM6K198,深圳智投低空经济产业发展有限公司,93,0,0,1,0
91441900MAEGQQ7E96,城市快线低空经济（广东）有限公司,94,0,1,0,0
91441302MAEH6HN11P,岭南低空经济发展（惠州）有限公司,95,0,1,0,0
91440300MAEGT7D15P,深圳市中驭低空经济有限公司,96,0,1,0,0
91440300MAEHB4YG6K,天穹低空经济控股（深圳）有限公司,97,0,1,0,0
91440300MAEJ2GB472,天枢低空经济（深圳）有限公司,98,0,1,0,0
91440300MAEJ4U0032,中腾（深圳）低空经济开发有限公司,99,0,1,0,0
91440114MAEK4RY61F,广州智沃低空经济发展有限公司,100,0,0,0,1
91440300MAEJG0AC9K,国翼低空经济产业（深圳）有限公司,101,0,1,0,0
91440300MAEJ8NPA76,深圳市中翔低空经济有限公司,102,0,1,0,0
91441900MAEJGAC940,国领低空经济（广东）有限公司,103,0,0,1,0
91441900MAEH2UCU28,广东神州低空经济有限公司,104,0,1,0,0
91441900MAEKCH4594,广东省华南际航低空经济有限公司,105,0,1,0,0
91440300MAEJLUD09A,驭空低空经济发展（深圳）有限公司,106,0,1,0,0
91440106MAEJN17N03,广州乐飞低空经济产业发展有限公司,107,0,1,0,0
91440300MAEK68Y602,创未来低空经济（深圳）有限公司,108,0,1,0,0
91441900MAEJBUCLXW,广东领航低空经济发展有限公司,109,0,0,0,1
91440300MAEK331L3R,深圳市粤航低空经济发展有限公司,110,0,0,1,0
91440115MAELRKG48U,广东翼界低空经济产业发展有限公司,111,0,1,0,0
91440604MAEJYHJN00,广东省华腾低空经济发展有限公司,112,0,1,0,0
91441402MAELQWX6X3,梅州市天翼低空经济发展有限公司,113,0,1,0,0
91440783MAELQYKM35,开平市启航低空经济发展有限公司,114,0,0,0,1
91440300MAEL67E375,深圳雄飞低空经济咨询有限公司,115,0,1,0,0
91440804MAEM09NU9P,湛江高新低空经济发展有限公司,116,0,1,0,0
91440605MAELJ3KG14,佛山小翼低空经济有限公司,117,0,1,0,0
91442000MAEMEJ3U5J,广东开阔低空经济发展有限公司,118,0,0,0,1
91441900MAELFXTF00,广东自由城市低空经济有限公司,119,0,0,0,1
91440300MAELFWN585,广东省航际低空经济有限公司,120,0,1,0,0
91440606MAEN1L8E1E,佛山八方航聚低空经济有限公司,121,0,0,0,1
91440300MAELG5BU8Y,华南低空经济产业发展（深圳）有限公司,122,0,1,0,0
91440300MAELLGYQ99,广东省腾天低空经济有限公司,123,0,1,0,0
91440300MAENBX3Y0P,长风低空经济产业发展（深圳）有限公司,124,0,1,0,0
91440607MAEN4EB11C,企易加低空经济（广东）有限公司,125,0,1,0,0
91441900MAEPA3RT7G,东莞鸿运低空经济有限公司,126,0,1,0,0
91440607MAENAYM27T,广东省天功低空经济有限公司,127,0,0,0,1
91440300MAEPH3XW87,华翼（深圳）低空经济技术发展有限公司,128,0,0,1,0
91440300MAEPBRPF0F,深圳前海云乐低空经济科技有限公司,129,0,1,0,0
91441602MAEPC8MH1Y,河源市河航低空经济发展有限公司,130,0,0,1,0
91441403MAEN9NC36C,广东振曜低空经济发展有限公司,131,0,1,0,0
91441625MAEQ20YF65,河源市畅飞低空经济发展有限公司,132,0,1,0,0
91440300MAENB5330E,深圳联全低空经济有限公司,133,0,1,0,0
91441900MAEP6P7T8Y,广东广宏低空经济有限公司,134,0,1,0,0
91441900MAEQQ4YH4G,广东金凯低空经济发展有限公司,135,0,1,0,0
91440300MAEPW6R08E,深圳蜂网低空经济产业控股有限公司,136,0,0,1,0
91441402MAEPYGBE9N,天链（梅州）低空经济发展有限公司,137,0,0,0,1
91440300MAER7DM94R,深圳市影石云低空经济有限公司,138,0,0,0,1
91440982MAETGN471Y,茂名市航宇低空经济有限公司,139,0,0,1,0
91441602MAET3E038C,河源市科明低空经济有限公司,140,0,0,0,1
91440300MAERK9TA7G,深圳市影翎云低空经济有限公司,141,0,1,0,0
91441900MAEUUEL56Q,广东金鲲低空经济发展有限公司,142,0,1,0,0
91440604MAETLD7DXC,行者无疆低空经济（佛山）有限公司,143,0,1,0,0
91440904MAERYC814B,茂名市中鹏低空经济发展有限公司,144,0,0,0,1
91445202MAETKJWJ9K,揭阳市云冀低空经济发展有限公司,145,0,1,0,0
91440300MAETKFNC3D,中科天予（深圳）低空经济科技有限公司,146,0,1,0,0
91440300MAEURBA27F,深圳市海之林低空经济有限公司,147,0,1,0,0
91440300MAEWEQXF1H,深圳诺亚低空经济有限公司,148,0,1,0,0
91440300MAEU32QE1D,中科扬晟（深圳）低空经济科技有限公司,149,0,1,0,0
91442000MAEU6LH75D,中山市香山低空经济发展有限公司,150,0,0,0,1
91440281MAEX9YFH99,韶关市云科低空经济有限公司,151,0,1,0,0
91440300MAEXUA8B4H,大黄蜂（深圳）低空经济发展有限公司,152,0,0,0,1
91440300MAEX418N60,广东中能华航低空经济产业有限公司,153,0,1,0,0
91440300MAEWNUQH31,广东中威低空经济产业有限公司,154,0,0,1,0
91440300MAEXJMB810,深圳市泽晟低空经济产业有限公司,155,0,1,0,0
91440803MAG0E3JL30,广东辉跃低空经济发展有限公司,156,0,1,0,0
91440300MAG14HRFX8,深圳乘势低空经济有限公司,157,0,1,0,0
91440300MAG1QL9F6N,深圳哈佤盛世低空经济有限公司,158,0,1,0,0
91440300MA5J33GC8U,深圳市哈瓦特低空经济有限公司,159,0,1,0,0
91440703MAK05WQN1A,江门市华翼低空经济有限公司,160,0,1,0,0
91441224MAK133L02E,广东翼启未来低空经济有限公司,161,0,1,0,0
91441900MAK2RYB21M,广东科基壹号低空经济发展有限公司,162,0,1,0,0
91440606MAK1K7P876,航基低空经济发展（佛山）有限公司,163,0,0,0,1
91441702MAK0WHPL5F,阳江市仲国低空经济发展有限公司,164,0,1,0,0
91440300MAK0WFH07J,深圳市领翼低空经济科技有限公司,165,0,1,0,0
91440883MAK14DHG0Q,吴川云图低空经济发展有限公司,166,0,1,0,0
91440605MAK39BMH41,广东适航低空经济发展有限公司,167,0,1,0,0
91440825MAK3KEYQ2H,徐闻县海峡低空经济发展有限公司,168,0,0,0,1
91440300MAK27UT776,航飞（深圳）低空经济有限公司,169,0,1,0,0
91440105MAK42HGN4P,广东伏羲产教低空经济研究有限公司,170,0,1,0,0
91441284MAK4D0AG2J,广东创富低空经济发展有限公司,171,0,1,0,0
91441802MAK33JK44P,清远市共创低空经济发展有限公司,172,0,1,0,0
91440101MA9Y4QXN52,广州数航低空经济有限公司,173,0,1,0,0
91440512MAEA5UUA3F,广东九域低空经济发展企业（有限合伙）,174,0,1,0,0
91441322MAK3MMFR2N,鹏城低空经济发展（博罗）有限公司,175,0,1,0,0
91440300MADR1F191Q,飞拍低空经济发展（深圳）有限公司,176,0,0,1,0
91440300MAE51Y9E7W,深圳市中云链低空经济产业有限公司,177,0,1,0,0
91440300MAEA130W72,深商低空经济发展（深圳）有限公司,178,0,0,0,1
91441900MAEAP2PY0F,中疆低空经济（广东省）有限公司,179,0,1,0,0
91440300MAEDB90C72,深启低空经济产业服务（深圳）有限公司,180,0,1,0,0
91440300MAED90P37T,惠飞低空经济（深圳）有限公司,181,0,1,0,0
91440300MAEDE33R9J,幸福（深圳）低空经济产业发展有限公司,182,0,1,0,0
91440300MAEHMUTR5N,上云端（深圳）低空经济有限公司,183,0,0,0,1
91440300MAEGXW0D0R,深圳市祥云游低空经济有限公司,184,0,1,0,0
91440300MAEWBXFP17,深圳中安低空经济有限公司,185,0,0,0,1
91440300MAEUAQ6H2J,深圳市航铁低空经济有限公司,186,0,1,0,0
91440300MA5FDMWF7P,深圳蜂王低空经济科技发展有限公司,187,0,0,0,1
91440204MAELK3R007,韶关飞鹏低空经济发展有限公司,188,0,0,0,1
91440300MAK09GGF0T,深圳云鸽低空经济产业发展有限公司,189,0,1,0,0
91441900MA7MMBW89K,广东明睿低空经济发展有限公司,190,0,1,0,0
91440300MA5HT2QN9Y,中科（深圳）低空经济发展有限公司,191,0,0,0,1
91441900582951593K,东莞市汇成低空经济有限公司,192,0,1,0,0
91440300MA5EGPNX0H,厚德低空经济（深圳）有限公司,193,0,1,0,0
91440300MA5HJPDN4T,云梭创新低空经济（深圳）有限公司,194,0,1,0,0
91440606MAD0MKTK3L,佛山市源通尚榕低空经济有限公司,195,0,0,0,1
91442000MAE9YWDM6D,中山华特雅低空经济发展有限公司,196,0,0,0,1
91441900MA52GEU12J,美江智飞（东莞）低空经济有限公司,197,0,0,1,0
91440112MA7M7Y7Q8D,广州智航低空经济产业发展有限公司,198,0,1,0,0
91440300MAK4FCE6XU,哈深低空经济（深圳）有限公司,199,0,0,1,0
91440400MACN71M6XE,广东横琴东昇防务科技有限公司,200,0,1,0,0
91440105MAK2UP1Y19,广州低空智联科技有限公司,201,0,1,0,0
91440300MA5G079M7T,深圳市英武低空文旅开发有限公司,202,0,1,0,0
91440300MA5EPJMFX9,深圳市域建低空科技有限公司,203,0,1,0,0
91440106MA9YBRU5X5,立体救援应急服务（广东）有限公司,204,0,0,1,0
91440300MA5H9G3X3X,广东跃洲智航低空科技有限公司,205,0,1,0,0
91440300MA5HQPHF2J,交换星球（深圳）文旅有限公司,206,0,0,1,0
91440300MA5HU8FG36,深圳市亿芯智慧应急科技有限公司,207,0,0,0,1
91440112MACPH1WR10,广东低空产业链发展有限公司,208,0,1,0,0
91610131MACTB0W17D,深圳高度创新低空产业发展有限公司,209,0,1,0,0
91440606MADB71GE84,三易归藏（广东顺德）大健康产业投资有限公司,210,0,1,0,0
91441802MADJNGFD90,广东低空产业建设发展有限公司,211,0,1,0,0
91440112MADP0WB43M,低空（广东）经济咨询服务有限公司,212,0,1,0,0
91440111MADQL9HA3K,低空产业园投资（广东）有限公司,213,0,1,0,0
91440605MADWUWTF89,佛山市鹏城低空经济技术发展有限公司,214,0,1,0,0
91440300MAE1748DXJ,深圳市空驭未来低空经济产业服务有限公司,215,0,1,0,0
91440104MAE6L3P34R,广东省城市低空经济产业研究院有限公司,216,0,1,0,0
91440300MAE8L4929M,深圳市鹏城低空新基建科技有限公司,217,0,1,0,0
91440104MAEABDW86E,广州吉祥鸟低空科技有限公司,218,0,0,1,0
91441602MAEA15P26X,深河飞鹰（河源）无人机培训有限公司,219,0,1,0,0
91440117MAE9WT9K5L,中研航空服务（广东）有限公司,220,0,1,0,0
91440300MAEAQBMR4Q,鹏城低空（深圳）运营管理有限公司,221,0,0,1,0
91440113MAEGE9YF7Y,雨燕航翼低空经济产业发展（广东）有限公司,222,0,1,0,0
91440112MAEJTL11X3,广东省产教融合低空经济研究有限公司,223,0,1,0,0
91440106MAENR09P20,广东乾元智航低空港经济发展有限公司,224,0,0,1,0
91441802MAENG4A48J,广东中彩航科低空经济发展有限公司,225,0,1,0,0
91440112MAEPABCM6Y,城市智运（广东）科技有限公司,226,0,1,0,0
91441802MAERRP0J8Y,广东共跃低空科技有限公司,227,0,1,0,0
91440300MAEXT7F05K,深圳鹏翔云飞低空经济发展有限公司,228,0,1,0,0
91440300MAK0FPRT2G,亚太智慧（广东）低空经济产业有限公司,229,0,1,0,0
91440114MAK1P8A578,广东创翼低空产业发展有限公司,230,0,1,0,0
91440300MAK4N5KM3T,京兰长绿（深圳）低空控股有限公司,231,0,1,0,0
91440300MA5F99GL73,深圳市毕方智慧低空经济科技发展有限公司,232,0,1,0,0
91440800MA4X75CC0R,湛江市九霄低空科技有限公司,233,0,1,0,0
91440300MA5HGYK84H,深圳市西宝低空经济产业发展有限公司,234,0,0,0,1
91440300MADH53482F,云海中城低空经济产业发展（深圳）有限公司,235,0,1,0,0
91440114MAK04WK853,广州低空云图科技有限公司,236,0,0,1,0
91440300MAK3507E22,中科赛尔健康科技（深圳）有限公司,237,0,0,0,1
91440104MAK388UJ8T,广州未来之星国际航空发展有限公司,238,0,0,0,1
91440300MA5DN6FT2X,深圳市龙源生物科技有限责任公司,239,0,1,0,0
91440300MA5GET2B9L,兄弟广告传媒（深圳）有限公司,240,0,1,0,0
91440300MACMX67A13,深圳领航低空文旅有限公司,241,0,0,1,0
91440300MAE5C90Y5H,深圳科比特重明鸟低空经济产业发展有限公司,242,0,1,0,0
91440112MAEAN8NQ8N,广州来飞低空科技发展有限公司,243,0,1,0,0
91441625MAEFWFK682,河源市万绿湖低空经济发展有限公司,244,0,1,0,0
91440115MAELF72PXW,天空城（广东）低空经济产业发展有限公司,245,0,1,0,0
91440402MAK1DE8C2M,珠海翼航低空科技有限公司,246,0,1,0,0
91440300MA5EC3117K,翼行云港低空产业（深圳）有限公司,247,0,1,0,0
91440300342489547L,深圳市玖玖隆低空经济产业咨询有限公司,248,0,1,0,0
91440300MADX8FEJX3,深圳宝昇一号投资合伙企业（有限合伙）,249,0,1,0,0
91441802MAEX4QTJ58,清远市小飞鸡文化发展有限公司,250,0,1,0,0
91440300MA5DMJKM7X,深圳馨贵海洋文化服务有限公司,251,0,1,0,0
91440300319535226J,深圳市中科瀚跃科技有限公司,252,0,1,0,0
91441302MAENEAJF0L,惠州粤晟美翔龙低空经济发展有限公司,253,0,1,0,0
91440300MA5GNR3F1C,商派湾航空技术服务（深圳）有限公司,254,0,0,1,0
91440101MA9Y42EX0M,广州层城仙谷健康管理有限公司,255,0,1,0,0
91441900MACBC1T79E,东莞市飞会通用航空有限公司,256,0,1,0,0
91440402MACK7XMB5Q,广东浦睿企业管理咨询有限公司,257,0,0,1,0
91441900MAD1LL8N2M,东莞发芽红城市运营服务有限公司,258,0,0,1,0
91440300MADFQJH81G,深圳市智源万联科技有限公司,259,1,0,1,0
91440300MADUK4NA6H,法谛（深圳）低空智能科技有限公司,260,0,1,0,0
91440300MADXK55L7T,深圳市鹏葵航空科技有限公司,261,0,1,0,0
91440300MAE2DGJBX1,深圳双龙低空科技有限公司,262,0,0,1,0
91440300MAE5C9FU8W,深圳低空数智科技有限公司,263,0,0,1,0
91440300MA5J2Y8LX3,深圳市九天低空经济产业创新中心有限公司,264,0,1,0,0
91440300MAE6M4XX9M,深圳鹏有文化发展有限公司,265,0,1,0,0
91440300MAE89D0X4T,深圳思岩逸行科技有限公司,266,0,1,0,0
91440300MAEA1C6R98,翔龙千里（深圳）科技有限公司,267,0,1,0,0
91440300MAEAG35Q1U,深圳市华腾汇航低空经济产业发展有限公司,268,0,1,0,0
91440300MAECPT0L0R,深圳钓域低空科技有限公司,269,0,1,0,0
91440300MAEEPNC00H,深圳光明未来低空产业发展有限公司,270,0,1,0,0
91441304MAEF1HX160,惠州市五维领航低空经济发展有限公司,271,0,1,0,0
91440300MAEE13YY3C,翱穹斯登科技（深圳）有限公司,272,0,1,0,0
91440300MAEGKD300K,深圳市星熹低空产业发展有限公司,273,0,0,1,0
91440300MAEHW6NY3D,深圳市智周行互联科技有限公司,274,0,1,0,0
91440300MAEH2NP785,鹏城具身产业发展控股（深圳）有限公司,275,0,1,0,0
91440106MAEKRLBEXE,广州科竞文化传播有限公司,276,0,0,0,1
91440300MAET9GNK18,空联寰动（深圳）低空经济发展有限公司,277,0,0,0,1
91440111MAER5NWT8L,吾立低空教学（广州）科技有限公司,278,0,0,1,0
91440300MAETUUQG08,深圳市万钍无人机科技有限公司,279,0,1,0,0
91440113MAETLY225C,广州低空飞行院有限公司,280,0,1,0,0
91440300MAEUY2U95N,鹏城低空科技咨询（深圳）合伙企业（有限合伙）,281,0,1,0,0
91440300MAK0A3G16Q,深圳头名低空无人机产业有限公司,282,0,1,0,0
91440300MAK2CFR97J,深圳市中天低空经济综合服务有限公司,283,0,1,0,0
91440300MAK262302G,深圳市超然农业供应链有限公司,284,0,1,0,0
914403000638930376,深圳宝旭精密电子有限公司,285,0,0,0,1
91440116340154997W,我要飞（广州）低空产业发展有限公司,286,0,0,1,0
91440105MAECMJC44E,中叶投融（广州）发展控股有限公司,287,0,1,0,0
91440106MAD9RNB17B,广州星耕咨询服务有限公司,288,0,0,0,1
91440300MAE79E1D94,空天低空产业发展研究（深圳）有限公司,289,0,1,0,0
91440605MAEA8U1F6J,佛山大雁低空科技有限公司,290,0,0,1,0
91442000MAEC1EGA0J,迪飞无人机科技（中山）有限公司,291,0,1,0,0
91440300MAEDH2NX9J,深圳市华鲲鹏科技有限公司,292,0,1,0,0
91440300MAEKJYG687,蓝锐华疆（深圳）投资控股有限公司,293,0,0,1,0
91440605MAETQ9GM74,佛山市光擎粤和科技有限公司,294,0,1,0,0
91440300MACY0MCL8J,鹏城低空飞行服务（深圳）有限公司,295,0,1,0,0
91440300MA5GLT1P5D,广东省元渔夫电子商务有限公司,296,0,1,0,0
91440300MAETXK8Q71,深圳市鹏城天境企业管理合伙企业（有限合伙）,297,0,1,0,0
91441300MA55LE5EXE,玖禾未来（深圳）科技有限公司,298,0,0,0,1
91440300MAG1WG750G,深圳汐律科技有限责任公司,299,0,1,0,0
91440500MAK0CLJFXE,汕头市星熹教育咨询有限公司,300,0,1,0,0
91440300MA5GH4W59A,深圳市麦芬科技贸易有限公司,301,0,0,1,0
91440800MAEED45C76,湛江市云瞰智能低空经济发展合伙企业（有限合伙）,302,0,0,1,0
91440105MA9YC43G00,广州翼智训低空产业发展有限公司,303,0,1,0,0
91440300MA5HBD4G30,广东氢氢动能技术有限公司,304,0,1,0,0
91440300MA5HR5C41D,鹏城大有产业发展（深圳）合伙企业（有限合伙）,305,0,1,0,0
91440300MADFFCFB4G,深圳蜚廉低空飞行服务有限公司,306,0,0,1,0
91440300MADKEXR315,深圳炜宸低空飞行培训有限公司,307,0,1,0,0
91440111MADMT14R8M,低空新基建（广州）有限公司,308,0,0,1,0
91440300MADXKMFR69,深圳市泽云健康管理有限公司,309,0,1,0,0
91440300MAE7MR4C67,国开智航低空经济产业（深圳）有限公司,310,0,1,0,0
91440300MAE9XCT83U,银河创新投资（深圳）有限公司,311,0,1,0,0
91440300MAEDAJQX62,腾羿低空产业服务（深圳）有限公司,312,0,0,0,1
91440300MAEDTJ6N0X,深圳合创云启科技有限公司,313,0,1,0,0
91441723MAEKC9A20D,阳江市合源低空经济发展有限责任公司,314,0,0,0,1
91440104MAEKR7RT68,广州无人足球俱乐部有限公司,315,0,1,0,0
91440300MAEPP7JNXY,中达盛芯（深圳）低空经济科技有限公司,316,0,1,0,0
91440802MAEPT6DG3J,湛江锦乾投资有限公司,317,0,1,0,0
91440300MAEQMN797E,深圳市灵云智飞低空经济发展有限公司,318,0,1,0,0
91440300MAG1FJA63M,深圳能飞航空科技有限公司,319,0,0,0,1
91440300MA5J3385X8,深圳市南飞低空科技有限公司,320,0,1,0,0
91440604MAK31Q678F,广东中资盛世投资控股集团有限公司,321,0,1,0,0
91440115MAK3EGUM71,嘉联和低空产业发展（广州）有限责任公司,322,0,1,0,0
91440300MADG6AY287,深圳中新研科技发展有限公司,323,0,1,0,0
91441381MAETUH6QXJ,惠州市一键起飞低空经济发展有限公司,324,0,0,0,1
91440300MA5GR5T73K,深圳市圆梦航空教育科技有限公司,325,0,1,0,0
91440106MAEGY71H7M,中杉低空经济产业发展（广州）有限公司,326,0,1,0,0
91440300MADXCQDG0H,深圳市天安泰低空运营管理中心（有限合伙）,327,0,1,0,0
91440104MAELN5780R,次元短剧（广东）科技有限公司,328,0,0,0,1
91440300MAE8LJ030W,中深空能科技（深圳）有限公司,329,0,0,1,0
91440300MAD04MH35U,低空创富投资（深圳）合伙企业（有限合伙）,330,0,0,0,1
91440300MACYR3PT11,低空创新投资（深圳）合伙企业（有限合伙）,331,0,1,0,0
91441900MAEKJLJ610,东莞市星空之王低空经济发展有限公司,332,0,0,1,0
91440300MAK50FKJ12,广东亿航低空产业投资有限公司,333,0,0,1,0
91441283MA54LGH22G,广州尚品自动化设备有限公司,334,0,0,0,1
91440300MA5HJ5GD7R,深圳深湾名流飞行俱乐部有限公司,335,0,1,0,0
91440300MACLJ3XJ57,深圳市六景企业管理有限公司,336,0,1,0,0
91440300MAE3FPNX18,深圳市旭瑞科技投资合伙企业（有限合伙）,337,0,1,0,0
91440300MAEW46261F,深圳金鲲奥维科技有限公司,338,0,0,1,0
91440300MAEWKDPT25,深圳市知途行旅低空经济有限责任公司,339,0,1,0,0
91440300MAEH1UKE7Y,泽一天和健康管理（深圳）有限责任公司,340,0,1,0,0
91440300MAEGXEMW71,中华龙航空（武汉）有限公司深圳低空经济分公司,341,0,0,0,1
