主导申请人名称,统一社会信用代码,申请人城市,当前权利人,专利数,IPC主分类号数,首次申请年份,最近申请年份,主体类型判断,是否广东样本城市,是否头部关键词命中,推荐补录优先级,补录建议
深圳市奇航疆域技术有限公司,91440300MA5F5W7Q1U,深圳,深圳市奇航疆域技术有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市方格尔科技有限公司,91440300557153880H,深圳,深圳市方格尔科技有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市高端无人机有限公司,91440300591868206T,深圳,深圳市高端无人机有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳黑砂科技有限公司,91440300MA5FJUN443,深圳,深圳黑砂科技有限公司,3,3,2022,2024,企业,是,否,P1-立即补录,建议补录进企业主表
立讯精密工业股份有限公司,91440300760482233Q,深圳,立讯精密工业股份有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
锐川机器人(深圳)有限公司,91440300MAD779CH5G,深圳,锐川机器人(深圳)有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
丰图科技(深圳)有限公司,91440300MA5F64KL29,深圳,丰图科技(深圳)有限公司,3,2,2022,2022,企业,是,否,P1-立即补录,建议补录进企业主表
佛山寻夏科技有限公司,91440605MA51ME6W51,佛山,佛山寻夏科技有限公司,3,2,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
华强方特(深圳)科技有限公司,91440300MA5F1M7Y86,深圳,华强方特(深圳)科技有限公司,3,2,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州市城市规划设计有限公司,914401011905508468,广州,广州市城市规划设计有限公司,3,2,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳万知达科技有限公司,91440300MA5F8CYR39,深圳,北京明克佑信科技有限公司,3,2,2020,2021,企业,是,否,P1-立即补录,建议补录进企业主表
深圳慧源创新科技有限公司,91440300MA5DP4TP4Q,深圳,深圳慧源创新科技有限公司,3,2,2018,2022,企业,是,否,P1-立即补录,建议补录进企业主表
珠海天空速递有限公司,91440400MA4UQAT56J,珠海,珠海天空速递有限公司,3,2,2016,2023,企业,是,否,P1-立即补录,建议补录进企业主表
航翼(深圳)无人机科技有限公司,91440300MA5HB6Q54N,深圳,航翼(深圳)无人机科技有限公司,3,2,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
鹰驾科技(深圳)有限公司,914403003564228459,深圳,鹰驾科技(深圳)有限公司,3,2,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
几维通信技术(深圳)股份有限公司,91440300MA5G8HHU4B,深圳,几维通信技术(深圳)股份有限公司,3,1,2021,2021,企业,是,否,P1-立即补录,建议补录进企业主表
深圳位置网科技有限公司,914403007271436359,深圳,深圳位置网科技有限公司,3,1,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
海鹰航空通用装备有限责任公司,911100000592190074,北京,海鹰航空通用装备有限责任公司,54,35,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
贵州电网有限责任公司,91520000214402515L,贵阳,贵州电网有限责任公司,49,37,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
成都飞机工业(集团)有限责任公司,91510100201906028Q,成都,成都飞机工业(集团)有限责任公司,47,22,2010,2024,企业,否,否,P2-优先补录,建议补录进企业主表
四川腾盾科技有限公司,91510100MA61T6QGXG,成都,四川腾盾科技有限公司,46,28,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
航天时代飞鹏有限公司,91320583MA24MU6A6F,苏州,航天时代飞鹏有限公司,46,28,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
黑龙江惠达科技股份有限公司,91230103684891253N,哈尔滨,黑龙江惠达科技股份有限公司,44,28,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
中国联合网络通信集团有限公司,91110000MA001HYK9X,北京,中国联合网络通信集团有限公司,42,27,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
普宙科技有限公司,91440300342528817F,武汉,普宙科技有限公司,42,19,2017,2024,企业,否,否,P2-优先补录,建议补录进企业主表
西安爱生技术集团有限公司,91610131220630805G,西安,西安爱生技术集团有限公司,37,31,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京三快在线科技有限公司,91110108562144110X,北京,北京三快在线科技有限公司,36,25,2019,2023,企业,否,否,P2-优先补录,建议补录进企业主表
彩虹无人机科技有限公司,91131022MA07QBU737,台州,彩虹无人机科技有限公司,35,29,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
中国电信股份有限公司,9111000071093019X7,北京,中国电信股份有限公司,33,26,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
国网智能科技股份有限公司,9137000072544424XN,济南,国网智能科技股份有限公司,32,19,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
江西翱翔星云科技有限公司,91360405MA39B6RA03,九江,江西翱翔星云科技有限公司,28,21,2024,2024,企业,否,否,P2-优先补录,建议补录进企业主表
天津云圣智能科技有限责任公司,91120116MA069EXE4T,天津,天津云圣智能科技有限责任公司,28,19,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
西安爱生技术集团公司,12100000435231705W,西安,西安爱生技术集团公司; 西北工业大学,26,14,2015,2019,企业,否,否,P2-优先补录,建议补录进企业主表
西安羚控电子科技有限公司,916101310978821258,西安,西安羚控电子科技有限公司,24,22,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京卓翼智能科技有限公司,911101083552926200,北京,北京卓翼智能科技有限公司,24,19,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
航天神舟飞行器有限公司,911201166906727353,天津,航天神舟飞行器有限公司,24,17,2017,2024,企业,否,否,P2-优先补录,建议补录进企业主表
中航(成都)无人机系统股份有限公司,915101006653023886,成都,中航(成都)无人机系统股份有限公司,23,19,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
航天时代飞鸿技术有限公司,91110108MA01BGGF6J,北京,航天时代飞鸿技术有限公司,23,19,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
西安因诺航空科技有限公司,91610131333676471Y,西安,西安因诺航空科技有限公司,23,18,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
国网湖北省电力有限公司随州供电公司,914213007379456909,随州,国网湖北省电力有限公司随州供电公司,23,15,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
沈阳无距科技有限公司,91210112MA0P48NJ5W,沈阳,沈阳无距科技有限公司,22,16,2018,2020,企业,否,否,P2-优先补录,建议补录进企业主表
中国电信股份有限公司技术创新中心,; 9111000071093019X7,北京,中国电信股份有限公司技术创新中心; 中国电信股份有限公司,22,15,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京中航智科技有限公司,91110302057391444C,北京,北京中航智科技有限公司,20,17,2019,2024,企业,否,否,P2-优先补录,建议补录进企业主表
紫光计算机科技有限公司,91410100MA9FC6JJ5R,郑州,紫光计算机科技有限公司,20,12,2024,2024,企业,否,否,P2-优先补录,建议补录进企业主表
杭州牧星科技有限公司,91330104MA27XGAP95,杭州,杭州牧星科技有限公司,19,15,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
山东字节信息科技有限公司,91370100MA3F7B223J,临沂,山东字节信息科技有限公司,19,12,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
内蒙古电力(集团)有限责任公司航检分公司,91150100MA0Q11YX5U,呼和浩特,内蒙古电力(集团)有限责任公司航检分公司,18,11,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京京东乾石科技有限公司,91110302MA01EJMH57,北京,北京京东乾石科技有限公司,18,11,2016,2023,企业,否,否,P2-优先补录,建议补录进企业主表
中航西飞民用飞机有限责任公司,916100003336294569,西安,中航西飞民用飞机有限责任公司,17,15,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
广西电网有限责任公司,91450000198222855P,南宁,广西电网有限责任公司,17,15,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
长春长光博翔无人机有限公司,91220100MA84XG5E5U,长春,长春长光博翔无人机有限公司,17,15,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
海南电网有限责任公司输电运检分公司,91460106MAC081WB9U,海口,海南电网有限责任公司输电运检分公司,17,12,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
奇瑞汽车股份有限公司,913402007139708758,芜湖,奇瑞汽车股份有限公司,17,11,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
一飞(海南)科技有限公司,91460100MA5TEJAA6M,三亚,一飞(海南)科技有限公司,17,9,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
江西洪都航空工业集团有限责任公司,91360000158261067E,南昌,江西洪都航空工业集团有限责任公司,16,14,2011,2024,企业,否,否,P2-优先补录,建议补录进企业主表
国网上海市电力公司,91310101132224671B,上海,国网上海市电力公司,16,12,2024,2024,企业,否,否,P2-优先补录,建议补录进企业主表
拓恒技术有限公司,91320115MA1X3B3H3K,南京,拓恒技术有限公司,15,13,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京小米移动软件有限公司,91110108596084056A,北京,北京小米移动软件有限公司,15,12,2017,2022,企业,否,否,P2-优先补录,建议补录进企业主表
四川傲势科技有限公司,91510100357970042X,成都,四川傲势科技有限公司,14,13,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
一飞智控(天津)科技有限公司,911201163410062596,天津,一飞智控(天津)科技有限公司,14,11,2015,2024,企业,否,否,P2-优先补录,建议补录进企业主表
四川省天域航通科技有限公司,91610131MA6W2G52XX,德阳,四川省天域航通科技有限公司,14,10,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
青岛云世纪信息科技有限公司,91370203092079886Q,青岛,青岛云世纪信息科技有限公司,14,10,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
智洋创新科技股份有限公司,91370300787160568U,淄博,智洋创新科技股份有限公司,14,9,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
杭州中汇通航航空科技有限公司,91330110MA27YB9C8A,杭州,杭州中汇通航航空科技有限公司,13,12,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
江苏方天电力技术有限公司,913200007780448133,南京,江苏方天电力技术有限公司,13,12,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
国网湖南省电力有限公司,91430000183770576P; 91430100183860686E; 9111000071093123XX,长沙,国网湖南省电力有限公司; 国网湖南省电力有限公司电力科学研究院; 国家电网有限公司,13,11,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
国网湖南省电力有限公司,91430000183770576P; 91430400MA4PC7W80D; 9111000071093123XX,长沙,国网湖南省电力有限公司; 国网湖南省电力有限公司超高压输电公司; 国家电网有限公司,13,11,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
观典防务技术股份有限公司,91110101765510395B,北京,观典防务技术股份有限公司,13,11,2017,2024,企业,否,否,P2-优先补录,建议补录进企业主表
拓攻(南京)机器人有限公司,91320115MA1UWMM6XK,南京,拓攻(南京)机器人有限公司,13,10,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
安徽达尔智能控制系统股份有限公司,91340200571793462G,芜湖,安徽达尔智能控制系统股份有限公司,13,9,2024,2024,企业,否,否,P2-优先补录,建议补录进企业主表
洲际联合超伦科技(北京)有限公司,91110117697690733K,北京,洲际联合超伦科技(北京)有限公司,12,10,2024,2024,企业,否,否,P2-优先补录,建议补录进企业主表
雷达新能源汽车(浙江)有限公司,; 91330000747735638J,杭州,雷达新能源汽车(浙江)有限公司; 浙江吉利控股集团有限公司,12,10,2023,2023,企业,否,否,P2-优先补录,建议补录进企业主表
河南送变电建设有限公司,91410000169951848H; 9111000071093123XX,郑州,河南送变电建设有限公司; 国家电网有限公司,12,9,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
浙江华云清洁能源有限公司,91330000142911977A,杭州,浙江华云清洁能源有限公司,12,9,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
中国移动通信集团设计院有限公司,91110000710932486E; 911100007109250324,北京,中国移动通信集团设计院有限公司; 中国移动通信集团有限公司,12,8,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
神思电子技术股份有限公司,913701007697202184,济南,神思电子技术股份有限公司,12,8,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
北京北航天宇长鹰无人机科技有限公司,91110108101166333J,北京,北京北航天宇长鹰无人机科技有限公司,11,11,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
星逻人工智能技术(上海)有限公司,91310115MA1H9PGX3U,上海,星逻人工智能技术(上海)有限公司,11,11,2018,2024,企业,否,否,P2-优先补录,建议补录进企业主表
众芯汉创(北京)科技有限公司,91110108MA00175970,北京,众芯汉创(北京)科技有限公司,11,10,2020,2024,企业,否,否,P2-优先补录,建议补录进企业主表
歌尔科技有限公司,91370212395543359J,青岛,歌尔科技有限公司,11,10,2017,2024,企业,否,否,P2-优先补录,建议补录进企业主表
陕西德鑫智能科技有限公司,91610132MACBAACFXD,西安,陕西德鑫智能科技有限公司,11,10,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
广东电网有限责任公司云浮供电局,91445302736165326Y,云浮,广东电网有限责任公司云浮供电局,11,9,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
招商局重庆交通科研设计院有限公司,915000004504058739,重庆,招商局重庆交通科研设计院有限公司,11,9,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
西安爱生技术集团公司,91610131220630805G; 12100000435231705W,西安,西安爱生技术集团公司; 西北工业大学,11,9,2018,2021,企业,否,否,P2-优先补录,建议补录进企业主表
国网山东省电力公司淄博供电公司,91370300164105335Y,淄博,国网山东省电力公司淄博供电公司,11,8,2023,2024,企业,否,否,P2-优先补录,建议补录进企业主表
徐州蓝湖信息科技有限公司,91320311MA1NC3NL1N,徐州,徐州蓝湖信息科技有限公司,11,8,2021,2024,企业,否,否,P2-优先补录,建议补录进企业主表
河南正大航空工业股份有限公司,91410700MA44LR727U,新乡,河南正大航空工业股份有限公司,11,8,2020,2020,企业,否,否,P2-优先补录,建议补录进企业主表
北京捷翔天地信息技术有限公司,91110105MA003KDHXL,北京,北京捷翔天地信息技术有限公司,11,7,2022,2024,企业,否,否,P2-优先补录,建议补录进企业主表
