公司名称,统一社会信用代码,成立日期,所属城市,所属区县,注册地址,曾用名,经营范围,企业(机构)类型,天眼评分,企业标准名,企业简称,企业类型标签,成立年份分层,样本标记,样本分层标签,产业链环节,产业链判定依据,企业规模,参保人数,法定代表人,登记状态,注册资本,实缴资本,官网,企业简介,数据来源
岭南低空经济（广东）有限公司,91441900MAE9W1PY5U,2025-01-14,东莞市,东莞市,广东省东莞市塘厦镇莲湖南四横路5号2号楼301室,-,一般项目：航空商务服务；航空运营支持服务；民用航空材料销售；航空运输货物打包服务；城市绿化管理；航空运输设备销售；以自有资金从事投资活动；航空国际货物运输代理；信息系统集成服务；旅客票务代理；地理遥感信息服务；城乡市容管理；导航、测绘、气象及海洋专用仪器销售；卫星通信服务；智能无人飞行器销售；大数据服务；物联网应用服务；卫星遥感应用系统集成；导航终端销售；卫星导航服务；融资咨询服务；卫星导航多模增强应用服务系统集成；卫星移动通信终端销售；卫星技术综合应用系统集成；供应链管理服务；国内贸易代理；市政设施管理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：通用航空服务；公共航空运输；商业非运输、私用大型航空器运营人、航空器代管人运行业务；民用航空油料储运及加注（含抽取）服务；民用机场运营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司（非自然人投资或控股的法人独资）,67,岭南低空经济(广东)有限公司,岭南低空经济(广东,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
广东省民资低空经济发展有限公司,91441900MAECTQJX3N,2025-02-28,东莞市,东莞市,广东省东莞市南城街道东莞大道南城段428号寰宇汇金中心9栋2单元502室,-,许可项目：通用航空服务；公共航空运输；商业非运输、私用大型航空器运营人、航空器代管人运行业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：航空商务服务；民用航空材料销售；航空运营支持服务；航空运输设备销售；航空运输货物打包服务；航空国际货物运输代理；信息系统集成服务；电工器材销售；智能无人飞行器销售；智能输配电及控制设备销售；服务消费机器人销售；智能机器人的研发；日用电器修理；智能港口装卸设备销售；智能机器人销售；人工智能硬件销售；智能物料搬运装备销售；智能家庭消费设备销售；人工智能公共数据平台。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股的法人独资),67,广东省民资低空经济发展有限公司,民资低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、系统集成,,,,存续,,,,,天眼查关键词企业
广东华疆低空经济有限公司,91441900MAEG8GEK77,2025-04-09,东莞市,东莞市,广东省东莞市东城街道堑头围仔四巷6号之一,-,许可项目：通用航空服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：智能无人飞行器制造；智能无人飞行器销售；航空商务服务；航空运营支持服务；智能机器人销售；工业机器人销售；特殊作业机器人制造；工业机器人安装、维修；服务消费机器人制造；服务消费机器人销售；工业机器人制造；智能机器人的研发；钟表与计时仪器制造；数字技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股的法人独资),67,广东华疆低空经济有限公司,华疆低空经济,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器,,,,存续,,,,,天眼查关键词企业
璀璨低空经济发展（广东）有限公司,91441900MAK20KJU6M,2025-11-19,东莞市,东莞市,广东省东莞市松山湖园区总部二路9号1栋1单元407、409室（集群注册）,-,一般项目：航空运输货物打包服务；紧急救援服务；人工智能行业应用系统集成服务；卫星通信服务；生态恢复及生态保护服务；林业机械服务；生态资源监测；工程管理服务；航空运营支持服务；会议及展览服务；航空商务服务；数据处理和存储支持服务；林业有害生物防治服务；农林牧渔专用仪器仪表销售；规划设计管理；农业机械租赁；智能农业管理；卫星技术综合应用系统集成；农林牧副渔业专业机械的安装、维修；森林经营和管护；森林防火服务；森林固碳服务；森林公园管理；城市公园管理；园林绿化工程施工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,其他有限责任公司,73,璀璨低空经济发展(广东)有限公司,璀璨低空经济发展(广东,产业运营类,2023-2025,否,,中游,航空、系统集成,,,,存续,,,,,天眼查关键词企业
深圳市九州低空经济有限公司,91440300MA5HWRQK9H,2023-05-24,深圳市,罗湖区,深圳市罗湖区南湖街道嘉北社区人民南路3012号天安国际大厦C2306F7,尾房在线（深圳）实业有限公司，深圳市龙延润生命科技有限公司,一般经营项目：智能无人飞行器销售；智能无人飞行器制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数据处理和存储支持服务；工程管理服务；交通安全、管制专用设备制造；航空运输设备销售；运输设备租赁服务；以自有资金从事投资活动；生态资源监测；紧急救援服务；环境保护监测；会议及展览服务（出国办展须经相关部门审批）；体育赛事策划；航空商务服务；科普宣传服务；园区管理服务；人工智能行业应用系统集成服务；软件开发；5G通信技术服务；物联网技术研发；电子产品销售；工程技术服务（规划管理、勘察、设计、监理除外）；信息系统集成服务；信息技术咨询服务；企业管理咨询；气象信息服务；公共安全管理咨询服务；卫星通信服务；航空运营支持服务；信息系统运行维护服务；网络与信息安全软件开发；农作物病虫害防治服务；林业有害生物防治服务；计算机软硬件及辅助设备批发；资源再生利用技术研发；固体废物治理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：民用航空器（发动机、螺旋桨）生产；民用航空器零部件设计和生产；通用航空服务；民用航空器驾驶员培训；飞行训练；民用航空器维修；民用航空维修人员培训；民用机场运营；商业非运输、私用大型航空器运营人、航空器代管人运行业务；建设工程质量检测；检验检测服务；旅游业务；测绘服务；安全生产检验检测；在线数据处理与交易处理业务（经营类电子商务）；互联网信息服务；第二类增值电信业务；城市建筑垃圾处置（清运）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,58,深圳市九州低空经济有限公司,九州低空经济,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
广东省湾区低空经济研究院,91440605MACKUJWX67,2023-06-15,佛山市,南海区,佛山市南海区丹灶镇仙湖度假区阳光路3号仙湖湾商业广场C座1层之一（住所申报）,广东省湾区新经济研究院,一般项目：社会经济咨询服务；政策法规课题研究；工程和技术研究和试验发展；自然科学研究和试验发展；农业科学研究和试验发展；医学研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；咨询策划服务；企业管理咨询；企业管理；会议及展览服务；数字技术服务；数字文化创意内容应用服务；人工智能公共数据平台；供应链管理服务；大数据服务；新材料技术研发；新兴能源技术研发；合同能源管理；组织文化艺术交流活动；教育咨询服务（不含涉许可审批的教育培训活动）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）【该企业转型升级前的成立日期为2020年12月28日】,联营,67,广东省湾区低空经济研究院,湾区低空经济,产业运营类,2023-2025,否,,下游,服务、培训、应用、农业,,,,存续,,,,,天眼查关键词企业
广东飞能低空经济发展有限公司,91440523MAC9QJG88F,2023-03-10,汕头市,龙湖区,汕头市龙湖区蓝田庄南区4幢401号房之一,广东尚顶好城市运营服务有限公司,许可项目：通用航空服务；民用航空器维修；民用航空维修人员培训；民用航空器驾驶员培训；民用机场运营；飞行训练；商业非运输、私用大型航空器运营人、航空器代管人运行业务；检验检测服务；安全生产检验检测；建设工程质量检测；测绘服务；旅游业务。一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数据处理和存储支持服务；工程管理服务；航空运输设备销售；运输设备租赁服务；紧急救援服务；环境保护监测；生态资源监测；智能无人飞行器销售；会议及展览服务；航空商务服务；体育赛事策划；科普宣传服务；园区管理服务；5G通信技术服务；电子产品销售；物联网技术研发；软件开发；工程技术服务（规划管理、勘察、设计、监理除外）；企业管理咨询；信息技术咨询服务；公共安全管理咨询服务；气象信息服务；卫星通信服务；信息系统运行维护服务；航空运营支持服务；计算机软硬件及辅助设备批发；网络与信息安全软件开发。,其他有限责任公司,67,广东飞能低空经济发展有限公司,飞能低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
深圳竹园新低空经济发展有限公司,91440300MAEEP8Q33W,2025-03-14,深圳市,罗湖区,深圳市罗湖区翠竹街道翠竹社区东门北路2057号翠竹苑37栋1层整层,-,航空运营支持服务；航空商务服务；道路货物运输站经营；食用农产品初加工；食品销售（仅销售预包装食品）；进出口代理；技术进出口；货物进出口；报关业务；食品进出口；食用农产品批发；食用农产品零售；石油制品销售（不含危险化学品）；航空国际货物运输代理；陆路国际货物运输代理；国际货物运输代理；国内货物运输代理；智能无人飞行器销售；智能无人飞行器制造；以自有资金从事投资活动；航空运输货物打包服务；电子、机械设备维护（不含特种设备）；土地整治服务；土地使用权租赁；供应链管理服务；新鲜水果批发；新鲜蔬菜批发；鲜肉批发；水产品批发；工艺美术品及收藏品批发（象牙及其制品除外）；珠宝首饰零售；电子产品销售；社会经济咨询服务；信息咨询服务（不含许可类信息咨询服务）；运输设备租赁服务；机械设备租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；普通货物仓储服务（不含危险化学品等需许可审批的项目）；低温仓储（不含危险化学品等需许可审批的项目）；企业总部管理；物业管理；酒店管理；餐饮管理；包装服务；会议及展览服务；停车场服务；国内贸易代理；政府采购代理服务；从事国际集装箱船、普通货船运输；海上国际货物运输代理；再生资源回收（除生产性废旧金属）；再生资源加工；生产性废旧金属回收；大数据服务；住房租赁；广告发布；广告设计、代理；航空运输设备销售；广告制作；特种设备销售；农副产品销售；农产品智能物流装备销售；智能物料搬运装备销售；金属材料销售；建筑材料销售；化工产品销售（不含许可类化工产品）；煤炭及制品销售；机械设备销售；办公用品销售；家用电器销售；农、林、牧、副、渔业专业机械的销售；制冷、空调设备销售；再生资源销售；非食用植物油销售；互联网销售（除销售需要许可的商品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）港口经营；保税物流中心经营；公共航空运输；民用机场运营；民用核安全设备设计；民用航空器零部件设计和生产；民用航空器（发动机、螺旋桨）生产；民用航空器维修；特种设备制造；特种设备安装改造修理；道路货物运输（不含危险货物）；国际道路货物运输；水路危险货物运输；酒类经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司（港澳台投资、非独资）,94,深圳竹园新低空经济发展有限公司,竹园新低空经济发展,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器,,,,存续,,,,,天眼查关键词企业
广州低空经济产业发展有限公司,91440115MAEHUHN71L,2025-04-23,广州市,南沙区,广州市南沙区横沥镇海望路7号第4层04自编号01单元-A18,-,电动汽车充电基础设施运营;企业管理咨询;体验式拓展活动及策划;会议及展览服务;旅游开发项目策划咨询;以自有资金从事投资活动;公共安全管理咨询服务;航空运营支持服务;航空商务服务;通信设备销售;人工智能行业应用系统集成服务;电子专用设备制造;智能无人飞行器制造;智能无人飞行器销售;数字文化创意技术装备销售;信息系统集成服务;信息系统运行维护服务;卫星通信服务;气象信息服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;信息技术咨询服务;工程技术服务（规划管理、勘察、设计、监理除外）;工程和技术研究和试验发展;软件开发;数字文化创意软件开发;运输设备租赁服务;蓄电池租赁;咨询策划服务;专业设计服务;工程管理服务;站用加氢及储氢设施销售;充电控制设备租赁;智能控制系统集成;大数据服务;数据处理服务;人工智能公共数据平台;人工智能公共服务平台技术咨询服务;非居住房地产租赁;租赁服务（不含许可类租赁服务）;储能技术服务;通用航空服务;民用航空器维修;民用航空维修技术培训;飞行训练;民用航空器驾驶员培训;检验检测服务;安全生产检验检测;建设工程质量检测;建设工程施工;建设工程设计;民用航空油料储运及加注油服务;升放无人驾驶气球，系留气球;城市配送运输服务（不含危险货物）;互联网信息服务;测绘服务,其他有限责任公司,94,广州低空经济产业发展有限公司,低空经济产业发展,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
深圳晟坤低空经济有限公司,91440300MA5GRELF2P,2021-05-13,深圳市,福田区,深圳市福田区沙头街道金碧社区福荣路58号鸿景湾名苑B栋1706,广东万马谷贸易有限公司，广东万马谷门窗科技有限公司，深圳万马谷贸易有限公司,一般经营项目：智能无人飞行器销售；民用航空材料销售；工业自动控制系统装置销售；工业机器人销售；人工智能行业应用系统集成服务；人工智能通用应用系统；智能家庭消费设备销售；人工智能公共数据平台；人工智能基础资源与技术平台；人工智能公共服务平台技术咨询服务；航空运营支持服务；信息系统集成服务；网络技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；物联网技术服务；信息技术咨询服务；数字技术服务；紧急救援服务；智能机器人的研发；智能机器人销售；国内贸易代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：通用航空服务；测绘服务；飞行训练。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,53,深圳晟坤低空经济有限公司,晟坤低空经济,产业运营类,2020-2022,否,,中游,飞行器、航空、智能无人飞行器、测绘、系统集成,,,,存续,,,,,天眼查关键词企业
韶关市鹏翔低空经济发展有限公司,91440204MAA4HQEQ44,2021-12-06,韶关市,武江区,韶关市武江区惠民北路493号奥园.韶关印象F幢4层11号客房,韶关市鸿途信息科技有限公司,许可项目：通用航空服务；民用航空器维修；飞行训练；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：智能无人飞行器制造；智能无人飞行器销售；教育咨询服务（不含涉许可审批的教育培训活动）；人工智能硬件销售；智能机器人的研发；智能机器人销售；人工智能基础软件开发；人工智能应用软件开发；人工智能通用应用系统；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数字技术服务；计量技术服务；消防技术服务；新材料技术研发；集成电路制造；集成电路销售；集成电路设计；智能控制系统集成；集成电路芯片及产品制造；信息系统集成服务；企业管理；企业管理咨询；供应链管理服务；物业管理；人工智能行业应用系统集成服务；人工智能公共数据平台；人工智能基础资源与技术平台；人工智能理论与算法软件开发；人工智能公共服务平台技术咨询服务；工业机器人制造；工业机器人销售；工业设计服务；工程和技术研究和试验发展；卫星遥感应用系统集成；卫星技术综合应用系统集成；卫星导航多模增强应用服务系统集成。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司(自然人投资或控股的法人独资),67,韶关市鹏翔低空经济发展有限公司,韶关市鹏翔低空经济发展,产业运营类,2020-2022,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
